date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:22	69/69	---MCZ	200	added ('OK')	text/plain	etag:%2211118-1737780135;gz%22	https://areceitadodia.com/robots.txt		(from )
17:18:22	125479/125479	---MCZ	200	added ('OK')	text/html	etag:%2211591-1737808602;gz%22	https://areceitadodia.com/sobremesas/?utm_source=FB&utm_campaign=%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431&utm_medium=CONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431&utm_content=01+1%7C120215039058400431&utm_term=Instagram_Feed&xcod=FBhQwK21wXxR%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431hQwK21wXxRCONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431hQwK21wXxR01+1%7C120215039058400431hQwK21w+XxRInstagram_Feed&fbclid=PAZXh0bgNhZW0BMABhZGlkAasW8QfVef8BpiswUiiciHtMEPVdkxdbVWcRcAbo9eM8-2YEzeJjD4ex91WwvtY3ear-OQ_aem_7dWeug7kYEPqZHxrkhnjug	C:/laragon/www/copia/areceitadodia.com/sobremesas/index85b9.html	(from )
17:18:22	5501/5501	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2015:58:58%20GMT	https://areceitadodia.com/wp-content/themes/hello-elementor/style.min.css?ver=3.1.1	C:/laragon/www/copia/areceitadodia.com/wp-content/themes/hello-elementor/style.minb12b.css	(from https://areceitadodia.com/sobremesas/?utm_source=FB&utm_campaign=%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431&utm_medium=CONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431&utm_content=01+1%7C120215039058400431&utm_term=Instagram_Feed&xcod=FBhQwK21wXxR%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431hQwK21wXxRCONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431hQwK21wXxR01+1%7C120215039058400431hQwK21w+XxRInstagram_Feed&fbclid=PAZXh0bgNhZW0BMABhZGlkAasW8QfVef8BpiswUiiciHtMEPVdkxdbVWcRcAbo9eM8-2YEzeJjD4ex91WwvtY3ear-OQ_aem_7dWeug7kYEPqZHxrkhnjug)
17:18:22	5146/5146	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2015:58:58%20GMT	https://areceitadodia.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.1	C:/laragon/www/copia/areceitadodia.com/wp-content/themes/hello-elementor/theme.minb12b.css	(from https://areceitadodia.com/sobremesas/?utm_source=FB&utm_campaign=%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431&utm_medium=CONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431&utm_content=01+1%7C120215039058400431&utm_term=Instagram_Feed&xcod=FBhQwK21wXxR%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431hQwK21wXxRCONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431hQwK21wXxR01+1%7C120215039058400431hQwK21w+XxRInstagram_Feed&fbclid=PAZXh0bgNhZW0BMABhZGlkAasW8QfVef8BpiswUiiciHtMEPVdkxdbVWcRcAbo9eM8-2YEzeJjD4ex91WwvtY3ear-OQ_aem_7dWeug7kYEPqZHxrkhnjug)
17:18:22	7212/7212	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2015:58:58%20GMT	https://areceitadodia.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.1.1	C:/laragon/www/copia/areceitadodia.com/wp-content/themes/hello-elementor/header-footer.minb12b.css	(from https://areceitadodia.com/sobremesas/?utm_source=FB&utm_campaign=%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431&utm_medium=CONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431&utm_content=01+1%7C120215039058400431&utm_term=Instagram_Feed&xcod=FBhQwK21wXxR%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431hQwK21wXxRCONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431hQwK21wXxR01+1%7C120215039058400431hQwK21w+XxRInstagram_Feed&fbclid=PAZXh0bgNhZW0BMABhZGlkAasW8QfVef8BpiswUiiciHtMEPVdkxdbVWcRcAbo9eM8-2YEzeJjD4ex91WwvtY3ear-OQ_aem_7dWeug7kYEPqZHxrkhnjug)
17:18:23	60705/60705	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Oct%202024%2014:03:00%20GMT	https://areceitadodia.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.24.7	C:/laragon/www/copia/areceitadodia.com/wp-content/plugins/elementor/assets/css/frontend.min52dd.css	(from https://areceitadodia.com/sobremesas/?utm_source=FB&utm_campaign=%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431&utm_medium=CONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431&utm_content=01+1%7C120215039058400431&utm_term=Instagram_Feed&xcod=FBhQwK21wXxR%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431hQwK21wXxRCONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431hQwK21wXxR01+1%7C120215039058400431hQwK21w+XxRInstagram_Feed&fbclid=PAZXh0bgNhZW0BMABhZGlkAasW8QfVef8BpiswUiiciHtMEPVdkxdbVWcRcAbo9eM8-2YEzeJjD4ex91WwvtY3ear-OQ_aem_7dWeug7kYEPqZHxrkhnjug)
17:18:23	1372/1372	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Jan%202025%2005:10:54%20GMT	https://areceitadodia.com/wp-content/uploads/elementor/css/post-5.css?ver=1736485854	C:/laragon/www/copia/areceitadodia.com/wp-content/uploads/elementor/css/post-5f282.css	(from https://areceitadodia.com/sobremesas/?utm_source=FB&utm_campaign=%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431&utm_medium=CONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431&utm_content=01+1%7C120215039058400431&utm_term=Instagram_Feed&xcod=FBhQwK21wXxR%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431hQwK21wXxRCONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431hQwK21wXxR01+1%7C120215039058400431hQwK21w+XxRInstagram_Feed&fbclid=PAZXh0bgNhZW0BMABhZGlkAasW8QfVef8BpiswUiiciHtMEPVdkxdbVWcRcAbo9eM8-2YEzeJjD4ex91WwvtY3ear-OQ_aem_7dWeug7kYEPqZHxrkhnjug)
17:18:23	16471/16471	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Apr%202023%2014:22:46%20GMT	https://areceitadodia.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/laragon/www/copia/areceitadodia.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://areceitadodia.com/sobremesas/?utm_source=FB&utm_campaign=%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431&utm_medium=CONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431&utm_content=01+1%7C120215039058400431&utm_term=Instagram_Feed&xcod=FBhQwK21wXxR%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431hQwK21wXxRCONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431hQwK21wXxR01+1%7C120215039058400431hQwK21w+XxRInstagram_Feed&fbclid=PAZXh0bgNhZW0BMABhZGlkAasW8QfVef8BpiswUiiciHtMEPVdkxdbVWcRcAbo9eM8-2YEzeJjD4ex91WwvtY3ear-OQ_aem_7dWeug7kYEPqZHxrkhnjug)
17:18:23	10260/10260	---M-Z	200	added ('OK')	text/css	date:Sun,%2025%20Aug%202024%2016:59:38%20GMT	https://areceitadodia.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.24.7	C:/laragon/www/copia/areceitadodia.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min52dd.css	(from https://areceitadodia.com/sobremesas/?utm_source=FB&utm_campaign=%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431&utm_medium=CONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431&utm_content=01+1%7C120215039058400431&utm_term=Instagram_Feed&xcod=FBhQwK21wXxR%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431hQwK21wXxRCONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431hQwK21wXxR01+1%7C120215039058400431hQwK21w+XxRInstagram_Feed&fbclid=PAZXh0bgNhZW0BMABhZGlkAasW8QfVef8BpiswUiiciHtMEPVdkxdbVWcRcAbo9eM8-2YEzeJjD4ex91WwvtY3ear-OQ_aem_7dWeug7kYEPqZHxrkhnjug)
17:18:24	470843/470843	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Aug%202024%2014:10:32%20GMT	https://areceitadodia.com/wp-content/plugins/pro-elements/assets/css/frontend.min.css?ver=3.23.3	C:/laragon/www/copia/areceitadodia.com/wp-content/plugins/pro-elements/assets/css/frontend.min28fc.css	(from https://areceitadodia.com/sobremesas/?utm_source=FB&utm_campaign=%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431&utm_medium=CONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431&utm_content=01+1%7C120215039058400431&utm_term=Instagram_Feed&xcod=FBhQwK21wXxR%5B03%5D+-+COPY+06+%E2%80%94+C%C3%B3pia%7C120215039057570431hQwK21wXxRCONJUNTO+1+%E2%80%94+C%C3%B3pia%7C120215039060410431hQwK21wXxR01+1%7C120215039058400431hQwK21w+XxRInstagram_Feed&fbclid=PAZXh0bgNhZW0BMABhZGlkAasW8QfVef8BpiswUiiciHtMEPVdkxdbVWcRcAbo9eM8-2YEzeJjD4ex91WwvtY3ear-OQ_aem_7dWeug7kYEPqZHxrkhnjug)
