date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:42:50	238868/238868	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2021:42:49%20GMT	https://pay.hotmart.com/G72722089M?sck=HOTMART_SITE&off=2xvhe3w2&hotfeature=33&_gl=1*s9pcl0*_gcl_au*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4LjQwNDIyNjM1OS4xNzU2ODUwODMxLjE3NTY4NTA5MDY.*FPAU*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4*_ga*MjAwMTg1MjMzNC4xNzUyODg3MTQ4*_ga_GQH2V1F11Q*czE3NTkwMDkyMTkkbzM3JGcxJHQxNzU5MDA5MjI3JGo1MiRsMCRoMA..&bid=1759009229753	C:/laragon/www/telaaaaaa/tela%20pagamento/pay.hotmart.com/G72722089M9980.html	(from )
18:42:50	24/24	---M--	200	added ('OK')	text/plain	date:Sat,%2027%20Sep%202025%2021:42:49%20GMT	https://pay.hotmart.com/robots.txt		(from )
18:42:51	141868/141868	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2027%20Sep%202025%2021:42:49%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=default,es2015,es2017,es2016,es2018,es2019,es2020,es2021,es2022,es5,es6,es7	C:/laragon/www/telaaaaaa/tela%20pagamento/polyfill-fastly.io/v3/polyfill.min18ed.js	(from https://pay.hotmart.com/G72722089M?sck=HOTMART_SITE&off=2xvhe3w2&hotfeature=33&_gl=1*s9pcl0*_gcl_au*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4LjQwNDIyNjM1OS4xNzU2ODUwODMxLjE3NTY4NTA5MDY.*FPAU*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4*_ga*MjAwMTg1MjMzNC4xNzUyODg3MTQ4*_ga_GQH2V1F11Q*czE3NTkwMDkyMTkkbzM3JGcxJHQxNzU5MDA5MjI3JGo1MiRsMCRoMA..&bid=1759009229753)
18:42:51	108731/108731	---MCZ	200	added ('OK')	text/javascript	etag:W/%221a8bb-dTx8sRRqxTPq110E8Kmeumi/KWQ%22	https://pay.hotmart.com/js/third-party/adyen-prod-1-17.js	C:/laragon/www/telaaaaaa/tela%20pagamento/pay.hotmart.com/js/third-party/adyen-prod-1-17.js	(from https://pay.hotmart.com/G72722089M?sck=HOTMART_SITE&off=2xvhe3w2&hotfeature=33&_gl=1*s9pcl0*_gcl_au*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4LjQwNDIyNjM1OS4xNzU2ODUwODMxLjE3NTY4NTA5MDY.*FPAU*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4*_ga*MjAwMTg1MjMzNC4xNzUyODg3MTQ4*_ga_GQH2V1F11Q*czE3NTkwMDkyMTkkbzM3JGcxJHQxNzU5MDA5MjI3JGo1MiRsMCRoMA..&bid=1759009229753)
18:42:51	36036/36036	---M--	200	added ('OK')	font/woff2	etag:%228cc4-IJHZT7Jyp4bxvtNHoIW1kvugmNI%22	https://pay.hotmart.com/assets/font/display/woff2/HotmartDisplay-Regular.woff2	C:/laragon/www/telaaaaaa/tela%20pagamento/pay.hotmart.com/assets/font/display/woff2/HotmartDisplay-Regular.woff2	(from https://pay.hotmart.com/G72722089M?sck=HOTMART_SITE&off=2xvhe3w2&hotfeature=33&_gl=1*s9pcl0*_gcl_au*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4LjQwNDIyNjM1OS4xNzU2ODUwODMxLjE3NTY4NTA5MDY.*FPAU*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4*_ga*MjAwMTg1MjMzNC4xNzUyODg3MTQ4*_ga_GQH2V1F11Q*czE3NTkwMDkyMTkkbzM3JGcxJHQxNzU5MDA5MjI3JGo1MiRsMCRoMA..&bid=1759009229753)
18:42:52	39540/39540	---M--	200	added ('OK')	font/woff	etag:%229a74-5NbZxR2NhU7k8OQ56idRkUepe4A%22	https://pay.hotmart.com/assets/font/display/woff/HotmartDisplay-Regular.woff	C:/laragon/www/telaaaaaa/tela%20pagamento/pay.hotmart.com/assets/font/display/woff/HotmartDisplay-Regular.woff	(from https://pay.hotmart.com/G72722089M?sck=HOTMART_SITE&off=2xvhe3w2&hotfeature=33&_gl=1*s9pcl0*_gcl_au*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4LjQwNDIyNjM1OS4xNzU2ODUwODMxLjE3NTY4NTA5MDY.*FPAU*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4*_ga*MjAwMTg1MjMzNC4xNzUyODg3MTQ4*_ga_GQH2V1F11Q*czE3NTkwMDkyMTkkbzM3JGcxJHQxNzU5MDA5MjI3JGo1MiRsMCRoMA..&bid=1759009229753)
18:42:52	22878/22878	---MCZ	200	added ('OK')	text/css	etag:W/%22595e-0vHkO4QC6TD3UQ1DMrJyUzELSFQ%22	https://pay.hotmart.com/_nuxt/index.Dar_Ir4u.css	C:/laragon/www/telaaaaaa/tela%20pagamento/pay.hotmart.com/_nuxt/index.Dar_Ir4u.css	(from https://pay.hotmart.com/G72722089M?sck=HOTMART_SITE&off=2xvhe3w2&hotfeature=33&_gl=1*s9pcl0*_gcl_au*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4LjQwNDIyNjM1OS4xNzU2ODUwODMxLjE3NTY4NTA5MDY.*FPAU*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4*_ga*MjAwMTg1MjMzNC4xNzUyODg3MTQ4*_ga_GQH2V1F11Q*czE3NTkwMDkyMTkkbzM3JGcxJHQxNzU5MDA5MjI3JGo1MiRsMCRoMA..&bid=1759009229753)
18:42:52	149546/149546	---MCZ	200	added ('OK')	text/css	etag:W/%222482a-ZP0wp6wq05oV09rUD/nOOtElAP8%22	https://pay.hotmart.com/_nuxt/cosmos.DhBwmKs-.css	C:/laragon/www/telaaaaaa/tela%20pagamento/pay.hotmart.com/_nuxt/cosmos.DhBwmKs-.css	(from https://pay.hotmart.com/G72722089M?sck=HOTMART_SITE&off=2xvhe3w2&hotfeature=33&_gl=1*s9pcl0*_gcl_au*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4LjQwNDIyNjM1OS4xNzU2ODUwODMxLjE3NTY4NTA5MDY.*FPAU*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4*_ga*MjAwMTg1MjMzNC4xNzUyODg3MTQ4*_ga_GQH2V1F11Q*czE3NTkwMDkyMTkkbzM3JGcxJHQxNzU5MDA5MjI3JGo1MiRsMCRoMA..&bid=1759009229753)
18:42:52	9572/9572	---MCZ	200	added ('OK')	text/css	etag:W/%222564-d50N/nnG5REkB8AhCRdxvCoRn60%22	https://pay.hotmart.com/_nuxt/styles.C7uPjNXK.css	C:/laragon/www/telaaaaaa/tela%20pagamento/pay.hotmart.com/_nuxt/styles.C7uPjNXK.css	(from https://pay.hotmart.com/G72722089M?sck=HOTMART_SITE&off=2xvhe3w2&hotfeature=33&_gl=1*s9pcl0*_gcl_au*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4LjQwNDIyNjM1OS4xNzU2ODUwODMxLjE3NTY4NTA5MDY.*FPAU*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4*_ga*MjAwMTg1MjMzNC4xNzUyODg3MTQ4*_ga_GQH2V1F11Q*czE3NTkwMDkyMTkkbzM3JGcxJHQxNzU5MDA5MjI3JGo1MiRsMCRoMA..&bid=1759009229753)
18:42:52	18839/18839	---MCZ	200	added ('OK')	text/css	etag:W/%224997-746Cknkh1dnsNj/s0kqdVFif8HM%22	https://pay.hotmart.com/_nuxt/main.yaYNoa8v.css	C:/laragon/www/telaaaaaa/tela%20pagamento/pay.hotmart.com/_nuxt/main.yaYNoa8v.css	(from https://pay.hotmart.com/G72722089M?sck=HOTMART_SITE&off=2xvhe3w2&hotfeature=33&_gl=1*s9pcl0*_gcl_au*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4LjQwNDIyNjM1OS4xNzU2ODUwODMxLjE3NTY4NTA5MDY.*FPAU*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4*_ga*MjAwMTg1MjMzNC4xNzUyODg3MTQ4*_ga_GQH2V1F11Q*czE3NTkwMDkyMTkkbzM3JGcxJHQxNzU5MDA5MjI3JGo1MiRsMCRoMA..&bid=1759009229753)
18:42:52	6066/6066	---MCZ	200	added ('OK')	text/css	etag:W/%2217b2-URfRZXwFVXOyUwOwDQJQ/54f0U8%22	https://pay.hotmart.com/_nuxt/entry.eSv53HF8.css	C:/laragon/www/telaaaaaa/tela%20pagamento/pay.hotmart.com/_nuxt/entry.eSv53HF8.css	(from https://pay.hotmart.com/G72722089M?sck=HOTMART_SITE&off=2xvhe3w2&hotfeature=33&_gl=1*s9pcl0*_gcl_au*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4LjQwNDIyNjM1OS4xNzU2ODUwODMxLjE3NTY4NTA5MDY.*FPAU*MjA2MjM5MzM2Ny4xNzUyODg3MTQ4*_ga*MjAwMTg1MjMzNC4xNzUyODg3MTQ4*_ga_GQH2V1F11Q*czE3NTkwMDkyMTkkbzM3JGcxJHQxNzU5MDA5MjI3JGo1MiRsMCRoMA..&bid=1759009229753)
